assessmentItemID,keyword
basic4701,"['농경', '정착', '생활', '시작', '시대', '생활', '모습', '대화', '창', '내용', '움집', '답변', '가락바퀴', '이용', '실', '답변', '빗살', '무늬', '토기', '식량', '저장', '답변', '제시', '제시', '시대', '신석기 시대', '임', '수', '선지', '제시', '유물', '중', '신석기 시대', '처음', '제작', '유물', '돌', '판', '열매', '씨앗', '껍질', '가루', '데', '사용']"
basic4702,"['고구려', '발전', '과정', '제목', '하', '제시', '영락', '연호', '사용', '바', '대', '왕인', '광', '개', '토', '대왕', '때', '재위', '일', '이다', '광', '개', '토', '대왕', '원년', '태학', '설립', '바', '대', '왕인', '소수', '림', '왕', '때', '재위', '일', '이다', '소수림왕', '평양', '천도', '바', '20대', '왕인', '장수왕', '때', '재위', '일', '이다', '장수왕', '이상', '순서', '나열']"
basic4703,"['왼쪽', '말풍선', '솟대', '모형', '솟대', '나라', '소도', '유래', '한', '말', '오른쪽', '말풍선', '나라', '제사', '장인', '천군', '내용', '제시', '나라', '삼한', '임', '수', '삼한', '정치', '군장', '제사', '장인', '천군', '분리', '제정', '분리', '사회', '삼한', '신지', '읍', '차', '등', '지배자']"
basic4704,"['왼쪽', '말풍선', '이차돈', '순교', '계기', '불교', '공인', '내용', '오른쪽', '말풍선', '금관가야', '병합', '영토', '내용', '제시', '왕', '신라', '대', '왕인', '법흥왕', '재위', '수', '법흥왕', '불교', '공인', '것', '재위', '년', '527년', '일', '금관가야', '병합', '것', '재위', '년', '532년', '일']"
basic4705,"['이', '고구려', '공격', '도읍', '당시', '웅진', '내용', '2015년', '유네스코', '세계', '유산', '등재', '내용', '사진', '공주', '공산성', '제시', '바', '국가', '백제', '임', '수', '백제', '개로왕', '고구려', '장수왕', '공격', '한성', '위례성', '웅진', '천도', '문주왕', '것', '475년', '일', '지방', '담로', '것', '백제', '대', '왕인', '무령왕', '때', '재위', '일']"
basic4706,"['왼쪽', '말풍선', '며칠', '김유신', '장군', '신라', '군', '황산벌 전투', '승리', '말', '오른쪽', '말풍선', '계백', '결사대', '승리', '말', '제시', '자료', '신라', '삼국', '통일', '과정', '초', '황산벌 전투', '임', '수', '있다', '달솔', '흑치상지', '백제', '부흥', '운동', '전개', '것', '년', '7월', '백제', '멸망', '직후', '흑치상지', '도읍', '사비', '함락', '직후', '임존성', '오늘날', '충남', '예산', '대흥', '거점', '명', '병력', '수습', '당', '군', '격퇴', '성', '회복']"
basic4707,"['귀족', '출신', '신라', '승려', '당', '유학', '내용', '귀국', '후', '낙산사', '등', '절', '창건', '관음', '신앙', '전파', '내용', '마지막', '신라', '화엄종', '개창', '화엄일승법계도', '내용', '제시', '자료', '속', '인물', '해동', '화엄', '시조', '원교', '국사', '의상', '수']"
basic4708,"['헌덕왕', '14년', '웅천주', '도독', '김헌창', '아버지', '김주원', '왕위', '이유', '반란', '국호', '장안', '연호', '경운', '내용', '김헌창의 난', '헌덕왕', '년', '년', '발생', '웅천주', '지금', '충남', '공주', '진', '성왕', '8년', '최치원', '시무', '조', '왕이', '아찬', '내용', '성왕', '진성', '여왕', '최치원', '시무', '조', '것', '지성', '여왕', '재위', '년', '894년', '일', '최치원', '시무', '진골', '귀족', '반대', '거부', '원종', '애', '노', '봉기', '것', '진성', '여왕', '년', '889년', '일']"
basic4709,"['단계', '국보', '6호', '지정', '내용', '단계', '경주', '불국사', '석탑', '탑', '신부', '발견', '내용', '마지막', '단계', '현존', '세계', '목판 인쇄', '물', '불경', '인쇄', '본', '내용', '제시', '문화유산', '국보', '호로', '지정', '무구정광대다라니경', '임', '수', '무구정광대다라니경', '8세기', '전반', '700년대', '초', '년', '사이', '것', '추정']"
basic4710,"['후삼국', '통일', '왕건', '제시', '고려', '왕건', '후삼국', '통일', '과정', '관련', '문제', '수', '포', '최무선', '화약', '용해', '왜구', '것', '고려 우왕', '년', '1380년', '일', '이다', '진포 해전']"
basic4711,"['오른쪽', '말풍선', '우표', '고구려', '계승', '을', '건국', '대조영', '기념', '대답', '제시', '대조영', '건국', '발해', '임', '수', '있다', '발해', '10대', '선왕', '때', '재위', '당', '해동', '성', '국', '정도', '전성기']"
basic4712,"['고려', '전기', '관리', '점', '시무 28조', '성종', '건의', '점', '유교', '정치', '이념', '근거', '통치', '체제', '확립', '기여', '점', '제시', '제시', '자료', '속', '인물', '최승로', '수', '최승로', '성종', '원년', '년', '시무 28조']"
basic4713,"['고려', '시대', '관직', '복무', '등', '대가', '전지', '시지', '차등', '지급', '제도', '질문', '고려 경종', '원년', '년', '처음', '시행', '전시과', '시정', '전시과', '수', '이때', '전시과', '관직', '고하', '인품', '반영', '역분전', '태조', '성격', '평가']"
basic4714,"['건원중보', '은', '병', '제시', '건원중보', '뒷면', '한자', '동국', '글자', '것', '특징', '이다', '내용', '은', '병', '활구', '라고', '내용', '건원중보', '고려 성종', '년', '년', '발행', '활구', '고려 숙종', '년', '년', '발행', '고려', '시대', '벽란도', '국제 무역', '항', '번성']"
basic4715,"['귀', '주', '거란', '군', '개경', '북방', '세력', '침입', '대비', '것', '건의', '내용', '제시', '강감찬', '수', '강감찬', '현종', '년', '년', '귀주 대첩', '대승', '거란', '차', '침입', '시', '북방', '세력', '침입', '대비', '개경', '건의', '적', '있다', '나성', '축조', '목종', '현종']"
basic4716,"['국보', '호로', '지정', '고려', '시대', '목조', '건축물', '경상북도', '영주', '소재', '있다', '내용', '배', '기둥', '주심', '포', '양식', '특징', '아미타불', '있다', '내용', '자료', '속', '영주 부석사 무량수전', '임', '수']"
basic4717,"['근래', '기강', '권세가', '토지', '백성', '점유', '농장', '백성', '나라', '내용', '도감', '설치', '잘못', '자', '처벌', '내용', '마지막', '조치', '전민변정도감', '판사', '신돈', '고려 공민왕', '전민변정도감', '설치', '것', '재위', '년', '1366년', '일', '이다', '승려', '신돈', '등용', '참고', '전민변정도감', '권세가', '점탈', '토지', '농민', '설치', '임시', '개혁', '기관', '사실', '전', '역대', '번', '설치', '혁파', '차례', '원종', '년', '1269년', '충렬왕', '년', '1288년', '충렬왕', '년', '1301년', '공민왕', '원년', '1352년', '권문세족', '반발', '폐지', '공민왕', '년', '1366년', '마지막', '우왕', '년', '년', '설치', '전민변정도감', '번', '설치', '것', '부원', '파', '친원파', '권문세족', '힘', '약화', '국가', '재정', '수입', '기반', '확대', '데', '설치', '것', '수', '원 간섭기', '이후', '권문세족', '권세', '막강', '의미', '제시', '연표', '시기', '해당']"
basic4718,"['우왕', '최영이', '요동', '공격', '결정', '이성계', '출병', '것', '가지', '이유', '불가', '나라', '나라', '공격', '수', '것', '번', '여름', '군사', '동원', '수', '것', '번', '왜구', '빈틈', '수', '것', '번', '장마철', '활', '아교', '질병', '것', '번', '말', '내용', '이성계', '불가', '이성계', '불가', '이유', '고려 우왕', '년', '년', '위화도', '회군', '실권']"
basic4719,"['오늘', '조선경국전', '말', '비단', '상', '태조', '명', '제시', '삼봉', '정도전', '수', '삼봉', '정도전', '태조', '년', '년', '조선경국전', '법전']"
basic4720,"['태종', '때', '궁', '초대', '내용', '조선', '정원', '조경이', '보존', '후원', '관람', '수', '내용', '마지막', '달빛', '길', '돈화문', '인정전', '낙선재', '연경당', '후원', '숲길', '돈화문', '제시', '제시', '창덕궁', '임', '수', '있다', '태종', '돈화문', '창덕궁', '정문', '인정전', '창덕궁', '정전', '낙선재', '창덕궁', '동남쪽', '사대부', '주택', '양식', '건물', '왕이', '책', '공간', '서재', '겸', '사랑채', '조성', '후원', '창덕궁', '북쪽', '정원', '참고', '조선', '대', '궁궐', '경복궁', '창덕궁', '창경궁', '경희궁', '덕수궁', '정전', '임금', '정사', '곳', '건물']"
basic4721,"['왼쪽', '말풍선', '이조', '전', '김효원', '후임', '심충겸', '추천', '내용', '오른쪽', '말풍선', '심충겸', '외척', '이조', '랑', '내용', '제시', '대화', '정', '품', '직인', '이조', '전', '자리', '기성', '사림', '서인', '신진', '사림', '동인', '대립', '상황', '수', '김효원', '동인', '심의겸', '서인', '심충겸', '동생', '대립', '인해', '사림', '동인', '서인', '선조', '동', '서', '붕당']"
